item_id,title,impressions,clicks,cost,conversions
271418565122,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x10m z poliwęglanem 4mm",109,0,0.0,0.0
665618502822,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x8m z poliwęglanem 4mm",102,1,0.73,0.0
383958365552,Szklarnia Mini Ekspert Tunel 20×20 2x4m z poliwęglanem 6mm,100,2,2.1,0.0
967700252932,Szklarnia Ekspert Tunel 40×20 3x12m z poliwęglanem 4mm,97,4,2.14,0.0
932105708832,Szklarnia Ekspert Tunel 40×20 3x8m z poliwęglanem 6mm,96,4,1.44,0.0
392516639432,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x4m z poliwęglanem 6mm",94,1,0.7,0.0
121396387852,Szklarnia Ekspert Tunel 40×20 3x10m z poliwęglanem 6mm,92,2,1.04,0.0
427602082552,Szklarnia Mini Ekspert Tunel 20×20 2x6m z poliwęglanem 4mm,91,2,1.86,0.0
783099080022,Szklarnia Went Ekspert Tunel 40x20 3x8m z poliwęglanem 4mm,88,1,0.47,0.0
240446469262,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x6m z poliwęglanem 6mm",86,0,0.0,0.0
659715384552,Szklarnia Ekspert Tunel 20×20 3x10m z poliwęglanem 4mm,85,0,0.0,0.0
351892230542,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x10m z poliwęglanem 6mm",81,1,1.18,0.0
807720092212,Szklarnia Ekspert Tunel 40×20 3x12m z poliwęglanem 6mm,73,0,0.0,0.0
480079353992,Fundament ze stali ocynkowanej pod szklarnię 3×6 m,72,7,4.05,0.0
314966136482,"Szklarnia Kompakt Ekspert Tunel 40x20 2,5x8m z poliwęglanem 6mm",71,0,0.0,0.0
754490399442,Szklarnia Mini Ekspert Tunel 20×20 2x10m z poliwęglanem 6mm,67,0,0.0,0.0
231990200602,Szklarnia Went Ekspert Tunel 40x20 3x10m z poliwęglanem 4mm,65,1,0.75,0.0
880555790012,Fundament ze stali ocynkowanej pod szklarnię 2×4 m,64,4,0.78,0.0
379687140432,Szklarnia Went Ekspert Tunel 40x20 3x14m z poliwęglanem 6mm,63,0,0.0,0.0
391232187412,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x8m z poliwęglanem 6mm",62,0,0.0,0.0
632235703492,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x12m z poliwęglanem 6mm",62,0,0.0,0.0
894211962322,Szklarnia Mini Ekspert Tunel 20×20 2x12m z poliwęglanem 6mm,58,0,0.0,0.0
568403777062,"Fundament ze stali ocynkowanej pod szklarnię 2,85×4 m",57,2,0.92,0.0
556356657352,Szklarnia Mini Ekspert Tunel 20×20 2x10m z poliwęglanem 4mm,56,0,0.0,0.0
807556392912,Szklarnia Ekspert Tunel 20×20 3x8m z poliwęglanem 4mm,52,1,0.46,0.0
791881966492,Szklarnia Ekspert Tunel 20×20 3x10m z poliwęglanem 6mm,50,0,0.0,0.0
357412474172,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x14m z poliwęglanem 6mm",49,0,0.0,0.0
724492764772,Szklarnia Tytan Ekspert Tunel 40x20 4x8m z poliwęglanem 6mm,48,0,0.0,0.0
301769970312,Szklarnia Mini Ekspert Tunel 20×20 2x8m z poliwęglanem 6mm,46,0,0.0,0.0
514708050392,Szklarnia Mini Ekspert Tunel 20×20 2x8m z poliwęglanem 4mm,36,0,0.0,0.0
154467173242,Fundament ze stali ocynkowanej pod szklarnię 4×6 m,34,1,0.66,0.0
425155475452,Szklarnia Went Ekspert Tunel 40x20 3x12m z poliwęglanem 6mm,28,1,1.05,0.0
108374611122,Szklarnia Went Ekspert Tunel 40x20 3x10m z poliwęglanem 6mm,26,0,0.0,0.0
688377885702,Fundament ze stali ocynkowanej pod szklarnię 4×4 m,26,2,0.78,0.0
