campaign,item_id,title,impressions,clicks,cost,conversions
shop1 /search,977236207742,Szklarnia Ekspert Tunel 20×20 3x8m z poliwęglanem 6mm,374,1,0.87,0.0
shop1 /search,807720092212,Szklarnia Ekspert Tunel 40×20 3x12m z poliwęglanem 6mm,321,3,6.06,0.0
shop1 /search,791881966492,Szklarnia Ekspert Tunel 20×20 3x10m z poliwęglanem 6mm,309,1,1.86,0.0
shop1 /search,425155475452,Szklarnia Went Ekspert Tunel 40x20 3x12m z poliwęglanem 6mm,303,6,9.57,0.0
shop1 /search,108374611122,Szklarnia Went Ekspert Tunel 40x20 3x10m z poliwęglanem 6mm,302,0,0.0,0.0
shop1 /search,241868923352,Szklarnia Ekspert Tunel 20×20 3x12m z poliwęglanem 4mm,219,1,1.1,0.0
shop1 /search,677681691832,Szklarnia Went Ekspert Tunel 40x20 3x14m z poliwęglanem 4mm,207,0,0.0,0.0
shop1 /search,405706940722,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x12m z poliwęglanem 4mm",191,0,0.0,0.0
shop1 /search,894211962322,Szklarnia Mini Ekspert Tunel 20×20 2x12m z poliwęglanem 6mm,191,1,3.73,0.0
shop1 /search,632235703492,"Szklarnia Szeroka Ekspert Tunel 40x20 3,5x12m z poliwęglanem 6mm",190,2,3.24,0.0
shop1 /search,301769970312,Szklarnia Mini Ekspert Tunel 20×20 2x8m z poliwęglanem 6mm,164,2,2.22,0.0
shop1 /search,781911476172,Szklarnia Mini Ekspert Tunel 20×20 2x6m z poliwęglanem 6mm,128,0,0.0,0.0
shop1 /search,711156438102,Szklarnia Tytan Ekspert Tunel 40x20 4x10m z poliwęglanem 6mm,87,2,3.0,0.0
shop1 /search,749068784762,"Fundament ze stali ocynkowanej pod szklarnię 3,5×10 m",7,0,0.0,0.0
shop1 /search,880555790012,Fundament ze stali ocynkowanej pod szklarnię 2×4 m,5,0,0.0,0.0
shop1 /search,636739552452,Fundament ze stali ocynkowanej pod szklarnię 2×10 m,4,0,0.0,0.0
shop1 /search,261649226642,Fundament ze stali ocynkowanej pod szklarnię 2×8 m,3,0,0.0,0.0
shop1 /search,461500919732,"Fundament ze stali ocynkowanej pod szklarnię 2,85×10 m",2,0,0.0,0.0
shop1 /search,264106456512,Zestaw do podwiązywania roślin do szklarni 12m,1,0,0.0,0.0
shop1 /search,571600342122,"Fundament ze stali ocynkowanej pod szklarnię 2,5×6 m",1,0,0.0,0.0
shop1 /search,878032369002,"Fundament ze stali ocynkowanej pod szklarnię 2,85×12 m",1,0,0.0,0.0
