CampaignId,CampaignName,Cost,Clicks,Direct_forma,Direct_zvonok,Metrika_forma,Callibri_zvonok,Direct_total,MK_total,diff_total
111494415,поиск / егэ+огэ / сем: мск + округи,28823.809999999998,81,4.0,2.0,4.0,3,6.0,7.0,1.0
91392732,поиск / егэ+огэ / коммерс,24482.36,112,11.0,1.0,9.0,1,12.0,10.0,-2.0
118255480,поиск / егэ+огэ / автотаргетинг / Ж 35-44,12366.63,111,0.0,1.0,0.0,1,1.0,1.0,0.0
76937120,поиск / бренд / мск,12200.61,82,7.0,3.0,6.0,5,10.0,11.0,1.0
90292772,поиск / егэ+огэ / цел_гео,11394.06,60,2.0,2.0,2.0,2,4.0,4.0,0.0
702638439,поиск / егэ+огэ / коммерс 2,10400.62,26,0.0,1.0,0.0,1,1.0,1.0,0.0
710926114,мк / егэ / набор 26 / 2606-1,2257.0,693,0.0,1.0,1.0,3,1.0,4.0,3.0
