channel,utm,pool,found,matched,ok
"Google CPC_dyn (google_cpc_dyn)","utm_source=google;utm_medium=cpc;utm_campaign=s_19158580966_search","+48579774025|+48579774026|+48579774027|+48579774038|+48579773198|+48579772685|+48579772686|+48579772687|+48579772688|+48579772689|+48579774020|+48579774021|+48579773188|+48579773197|+48579774028|+48699586365|+48579773186|+48579774037|+48579774022|+48579773196","+48579772689","+48579772689",True
"Google CPC_pmax (google_cpc_pmax)","utm_source=google;utm_medium=cpc;utm_campaign=pmax01_test","+48579773190","+48579773190","+48579773190",True
"Google CPC_demand_gen (google_cpc_demand_gen)","utm_source=google;utm_medium=cpc;utm_campaign=demand_gen_test","+48579773189","+48579773189","+48579773189",True
"Facebook CPC","utm_source=facebook;utm_medium=cpc;utm_content=test;utm_campaign=test","+48579773200|+48579772682|+48579772683|+48579772684|+48579773043","+48579773200","+48579773200",True
"Контроль: pmax01 не в начале utm_campaign (должен уйти в dyn)","utm_source=google;utm_medium=cpc;utm_campaign=test_pmax01_notprefix","+48579774025|+48579774026|+48579774027|+48579774038|+48579773198|+48579772685|+48579772686|+48579772687|+48579772688|+48579772689|+48579774020|+48579774021|+48579773188|+48579773197|+48579774028|+48699586365|+48579773186|+48579774037|+48579774022|+48579773196","+48579772689","+48579772689",True
